0,-2.243040794
1,-0.911045198
2,-3.357827141
3,-1.082642011
4,-0.660976598
5,-2.802752739
6,-2.501431921
7,-2.368227961
8,-2.567732216
9,-3.878682209
10,-0.654190456
11,-1.798998568
12,-0.096194451
13,0.112497293
14,-2.722126095
15,-1.459900322
16,-1.587138656
17,-2.62346597
18,-2.254726292
19,-1.432014976
20,-2.754859608
21,-0.156883563
22,-2.828356279
23,-2.956035168
24,-0.809245532
25,-1.997055776
26,-0.650296581
27,-0.013245694
28,-0.655513853
29,-1.396668709
30,-0.199381345
31,-1.62038751
32,-0.377081121
33,0.171001041
34,-1.871777632
35,-2.155842183
36,-0.554659158
37,-1.014117147
38,-0.613747621
39,-3.987758569
40,-0.012705324
41,-1.27416332
42,-2.249300603
43,-2.980785035
44,-1.657269869
45,-3.113611641
46,-1.598785967
47,-0.725130427
48,-3.359346492
49,-0.585620777
50,-3.029849909
51,-1.94297378
52,-0.656104686
53,-2.310955209
54,-0.859942158
55,-0.449399974
56,-1.810397085
57,-3.198804499
58,-1.988272821
59,-0.591467036
60,-2.558950722
61,-0.306189498
62,-2.197568956
63,0.054750715
64,-1.776350713
65,-0.294051777
66,-0.305111315
67,-3.106344406
68,-3.601946028
69,-2.228271747
70,-1.682869422
71,-2.323677617
72,-0.151647915
73,-0.428996151
74,-0.513557419
75,-0.377307363
76,-1.167722131
77,-2.35268035
78,-0.426331602
79,-1.252526198
80,-1.241649153
81,-0.590858962
82,-2.053192228
83,-2.649479954
84,-2.466239628
85,-0.262963319
86,-2.970420276
87,-0.640966287
88,-0.100667871
89,-0.626926246
90,-0.774110953
91,-1.552914358
92,-0.763884665
93,-2.897068496
94,-2.160615188
95,-0.015475435
96,-0.315071651
97,0.032160147
98,-2.944051168
99,-4.116759588
100,-2.538771835
101,-2.674674018
102,-3.029494403
103,0.132141493
104,-1.680683424
105,-2.349872083
106,-0.83174173
107,-0.871714628
108,-2.549094006
109,-2.528526315
110,-0.22898289
111,-3.17656255
112,-2.598225446
113,-0.264074096
114,-2.587666269
115,-3.628182534
116,-3.016039022
117,-2.241582975
118,-2.761608393
119,-3.277112823
120,-0.681667443
121,-0.611581292
122,-1.056286191
123,-0.763385877
124,-0.513227417
125,-1.830753752
126,-3.229790124
127,-0.282499817
128,-2.598984506
129,-0.492777455
130,-0.563818337
131,-0.771382961
132,-1.899702518
133,-2.191314283
134,-1.015222377
135,-0.377552263
136,-0.197462208
137,-2.559308935
138,-1.846678886
139,-2.382031668
140,-3.123699404
141,-1.112783035
142,-2.499753739
143,-0.527828073
144,-0.20456158
145,-0.710458797
146,-0.548696038
147,-0.086587567
148,-0.745001132
149,-0.266261775
150,-0.876816602
